volume	open	high	close	low	ma5	ma10	ma20	ma30	time	chg	percent	turnrate	dif	dea	macd
1640066650	7097.0871	7166.556	7129.3274	7084.8053	7042.22862	7066.58483	7165.18856	7243.990163	Fri Dec 29 00:00:00 +0800 2097	25.17336794	0.3547	0	0	0	0
1860389324	7151.4888	7262.4927	7254.605	7142.7103	7105.01282	7073.72378	7160.652795	7233.153153	Fri Dec 29 00:00:00 +0800 2098	125.6659612	1.7572	0	0	0	0
2093605595	7259.3715	7305.4789	7299.2634	7258.2413	7165.11192	7097.10912	7161.598385	7225.474753	Fri Dec 29 00:00:00 +0800 2099	44.68869095	0.6156	0	0	0	0
1674840278	7302.1241	7313.1167	7299.2811	7267.0327	7217.32054	7129.29305	7164.02143	7219.932323	Fri Dec 29 00:00:00 +0800 2100	0.014604248	0.0002	0	0	0	0
1679012001	7308.3654	7337.3278	7334.6218	7277.2902	7263.41974	7151.3076	7163.457205	7225.740673	Fri Dec 29 00:00:00 +0800 2101	35.38710527	0.4842	0	0	0	0
1878592587	7350.0158	7361.7543	7287.9833	7287.6835	7295.15092	7168.68977	7159.04997	7225.909507	Fri Dec 29 00:00:00 +0800 2102	-46.73875047	-0.6359	0	0	0	0
1987308866	7310.1899	7403.4816	7364.5459	7310.1899	7317.1391	7211.07596	7161.2428	7222.805403	Fri Dec 29 00:00:00 +0800 2103	76.7935449	1.0505	0	0	0	0
1696609409	7394.3391	7406.3618	7406.3618	7332.7415	7338.55878	7251.83535	7166.945025	7225.062963	Fri Dec 29 00:00:00 +0800 2104	41.98505741	0.5678	0	0	0	0
1728712577	7389.6074	7443.2951	7392.6211	7371.6359	7357.22678	7287.27366	7173.533485	7226.101557	Fri Dec 29 00:00:00 +0800 2105	-13.70772173	-0.1855	0	0	0	0
1476678935	7392.7295	7404.2863	7346.9954	7328.5632	7359.7015	7311.56062	7188.81769	7222.88185	Fri Dec 29 00:00:00 +0800 2106	-45.62792647	-0.6172	0	0	0	0
1512038060	7337.5057	7361.4898	7341.2387	7263.621	7370.35258	7332.75175	7199.66829	7221.042957	Fri Dec 29 00:00:00 +0800 2107	-5.752604469	-0.0784	0	0	0	0
2125420540	7398.4708	7446.3881	7428.0225	7398.4708	7383.0479	7350.0935	7211.90864	7223.799697	Fri Dec 29 00:00:00 +0800 2108	87.45732333	1.1821	0	0	0	0
1744177110	7418.952	7423.8034	7423.8034	7367.0598	7386.53622	7362.5475	7229.82831	7228.581423	Fri Dec 29 00:00:00 +0800 2109	-4.213964736	-0.0568	0	0	0	0
1794620401	7415.8873	7420.9955	7335.858	7335.858	7375.1836	7366.20519	7247.74912	7231.416017	Fri Dec 29 00:00:00 +0800 2110	-87.84860096	-1.1846	0	0	0	0
1702208459	7337.0579	7351.4786	7281.7547	7270.6066	7362.13546	7360.91848	7256.11304	7229.27763	Fri Dec 29 00:00:00 +0800 2111	-54.11080201	-0.7375	0	0	0	0
1850446070	7267.9659	7278.6371	7193.4387	7181.5951	7332.57546	7351.46402	7260.076895	7223.187987	Fri Dec 29 00:00:00 +0800 2112	-88.14589044	-1.2128	0	0	0	0
1783747403	7169.7321	7268.0611	7215.6473	7161.6685	7290.10042	7336.57416	7273.82506	7219.686587	Fri Dec 29 00:00:00 +0800 2113	22.13296299	0.3087	0	0	0	0
1750830388	7195.5164	7258.4907	7129.8517	7128.4854	7231.31008	7308.92315	7280.37925	7214.271067	Fri Dec 29 00:00:00 +0800 2114	-85.55469	-1.189	0	0	0	0
2062708942	7023.11	7064.4639	6961.953	6948.713	7156.52908	7265.85634	7276.565	7204.30777	Fri Dec 29 00:00:00 +0800 2115	-165.3872174	-2.3549	0	0	0	0
1895166789	7013.9445	7097.4213	7097.4213	6975.2874	7119.6624	7240.89893	7276.229775	7206.178103	Fri Dec 29 00:00:00 +0800 2116	136.4773321	1.9458	0	0	0	0
